path,class,tags
friends/117110358_660767928125870_2499154200089123773_n.jpg,friends,['friends']
friends/116796396_635418033845931_9036641376622017928_n.jpg,friends,['sarclassm']
friends/116791532_175573687522701_5464715492110795818_n.jpg,friends,"['beautifulgirls', 'loveyourself', 'summer', 'domingosmartins', 'capixaba', 'brasileira', 'cute', 'happy', 'gordinha', 'smile', 'brazil', 'girl', 'brasil', 'like4likes', 'friends', 'like', 'followtrick', 'fashion', 'selfie', 'me', 'likeforlike', 'likeforlikes', 'libra', 'braziliangirl']"
friends/116792328_950740202101819_7689559076673817064_n.jpg,friends,"['vacation', 'summer', 'sea', 'sardegna', 'girl', 'italia']"
friends/116875818_331691074533232_1754061670658465503_n.jpg,friends,"['mensfashion', 'music', 'summer', 'family', 'sunday', 'nature', 'blonde', 'girl', 'blue', 'boy', 'gym', 'live', 'friends', 'food', 'model', 'instaphoto', 'relax', 'goodmorning', 'fashion', 'elegant', 'time', 'selfie', 'likeforlikes', 'instamood']"
friends/116793381_984570775309018_3483647436091853980_n.jpg,friends,"['いいねした人で気になった人フォロー', 'likeforfollow', 'f4f', 'follow4followback', 'followforfollowback', 'sjk', 'おしゃれさんと繋がりたい', 'suu', 'l4l', 'like4likes', 'sjkの素敵な思い出', 'friends', 'ぷりんと倶楽部', '岸根jk', '城郷jk', 'プリント倶楽部', 'jk', '0806', 'followｍe', 'likeforlikes']"
friends/117224806_367409090915053_545342820281048490_n.jpg,friends,"['loveyourself', 'jaseem_momz', 'likeforfollow', 'followforfollowback', 'nature', 'happy', 'zara', 'girl', 'gang', 'kerala', 'friends', 'lovequotes', 'rose', 'gaintrick', 'gains', 'kerala360', 'insta_squardon', 'legend', 'likeforlikes', 'carcare', 'churrasco', 'giveaway']"
friends/116825423_714697689378111_2095295008704788964_n.jpg,friends,"['crazyart', 'mollywoodactress', 'jaseem_momz', 'instasquadron', 'malayalamtypography', 's', 'malayalamcinema', 'godsowncountry', 'delhi', 'bhfyp', 'keralaattraction', 'keralite', 'malluactress', 'funnytrolls', 'kerala', 'friends', 'mollywood', 'bestheroine', 'malayalamsong', 'mallucomicgram', 'kerala_360', 'typogram', 'soundsystemculture', 'malluactor', 'tollywood', 'teluguhotactress', 'mallu', 'malluhotactress', 'entekeralam', 'malayalamquotes']"
friends/117251240_736410250468704_354588618166097973_n.jpg,friends,"['ernakulam', 'diaries', 'major', 'missing', 'family', 'throwbackthursday', 'idukki', 'wayanad', 'kochi', 'kollam', 'trivandrum', 'days', 'college', 'happy', 'buddies', 'india', 'kerala', 'friends', 'bff', 'kozhikode', 'vibes', 'thrissur', 'kottayam', 'tb', 'lifeline', 'friendship', 'palakkad', 'besties']"
friends/116925168_323698172104559_8081941737901187886_n.jpg,friends,"['mustardheart', 'swagbag', 'fun', 'tvshow', 'staffappreciation', 'florida', 'promotionalstaffing', 'client', 'Gig', 'miami', 'Mustardlove', 'mustardlane', 'laner', 'friends', 'nyc', 'premiere', 'lanerlove', 'newyorkcity', 'lanerswithswag', 'swag', 'staff', 'brandambassador', 'abc', 'brothers', 'grandhotel']"
friends/117599436_811851819349660_1034998884766848709_n.jpg,friends,"['likeme', 'art', 'summer', 'modeling', 'family', 'follow4followback', 'photoshooting', 'summervibes', 'followforfollowback', 'photoshoot', 'likexlike', 'liketime', 'sunset', 'girl', 'makeupartist', 'friends', 'pretty', 'photographer', 'likesforlike', 'beach', 'model', 'summer2020', 'follower']"
friends/116813745_666787470595295_8081333479298072975_n.jpg,friends,"['friends', 'finnishsummer', 'visitfinland', 'wolfpack', 'summer']"
friends/117234733_3068982683136971_8393462751239684427_n.jpg,friends,"['lol', 'dailymemes', 'fun', 'cute', 'bhfy', 'funnyvideos', 'dank', 'funnymemes', 'funny', 'jokes', 'happy', 'comedy', 'memes', 'viral', 'laugh', 'lmao', 'friends', 'like', 'humor', 'edgymemes', 'haha', 'explorepage', 'meme', 'tiktok', 'dankmemes', 'memesdaily']"
friends/116876107_1160627817656213_8872931006480682053_n.jpg,friends,"['friends', 'writersofinstagram', 'support', 'confusedstories', 'writerscommunity', 'local', 'writer', 'confused', 'newbie']"
friends/116869941_636282010644490_6937431715217883947_n.jpg,friends,"['friends', 'wohnenwoandereurlaubmachen', 'altmühlsee']"
friends/117344076_507082186763176_759063040635461308_n.jpg,friends,"['imvumale', 'imvu2020', 'imvufollow', 'imvushop', 'imvuedits', 'chat', 'app', 'imvulifestyle', 'imvumobile', 'imvupictureperfect', 'imvufashion', 'imvumodel', 'imvufriends', 'imvupicture', 'avatar3D', 'italymodel', 'imvulove', 'imvudiscover', 'friends', 'model', 'fashion', 'mobile', 'avatar', 'imvu', 'imvuapp', 'photo_lab_app', '3d', 'imvuonly', 'imvupictures', 'imvulife']"
friends/117170890_1051956821887085_3682360915380115492_n.jpg,friends,"['instafashion', 'sky', 'new', 'dope', 'everything', 'hashtag', 'lifestyle', 'black', 'farmlife', 'everyday', 'sunset', 'blue', 'live', 'friends', 'alonequotes', 'clouds', 'post', 'wheatharvest', 'instaphoto', 'cool', 'design', 'cloudy', 'outfits', 'skyphotography', 'bluesky']"
friends/117326418_134520581643061_8569496926831742733_n.jpg,friends,"['summer', 'tennis', 'afternoon', 'friends']"
friends/116887407_331075394942981_772830580002211929_n.jpg,friends,"['goorohero8', 'queibraviragazzi', 'likeit', 'family', 'holiday', 'canoa', 'cugini', 'bestpic', 'djadja', 'vacanze', 'lecco', 'pusiano', 'bestpicture', 'italy', 'friends', 'gopro', 'relax', 'pusianolake', 'boys', 'followme', 'sport', 'afternoon']"
friends/116786325_317084962820947_3926342664483987400_n.jpg,friends,"['thursdayvibes', 'chihuahualove', 'perfectday', 'chihuahua', 'bestwoof10k', 'bestfriends', 'bestday', 'dogmodel', 'funny', 'partytime', 'beauties', 'friendshipgoals', 'playdate', 'dayofchihuahuas', 'friends', 'dreamteam', 'sozialisierung', 'dogsofinstagram', 'petstagram', 'happylife', 'truppe', 'thursday', 'thursdaymood', 'party', 'happyday']"
friends/117376384_676793466252341_1597704618873993452_n.jpg,friends,"['summer', 'fun', 'tbt', 'instalike', 'cute', 'follow4follow', 'happy', 'bestoftheday', 'l4l', 'smile', 'friends', 'fashion', 'igers', 'swag', 'like4like', 'selfie', 'me', 'likeforlike', 'followme', 'amazing', 'instatag']"
friends/116886429_334072277971355_7381837027387104504_n.jpg,friends,"['fotografía', 'photodays', 'niños', 'canon', 'naturaleza', 'familia', 'galifornia', 'arena', 'nomadafotografía', 'meirás', 'niñas', 'canonespaña', 'luz', 'playa', 'photoday', 'live', 'friends', 'photographer', 'galicia', 'fotografíainfantil', 'natural', 'agua', 'amor', 'peques', 'atardecer', 'photos']"
friends/117292749_3469831386400785_5051505767764692316_n.jpg,friends,"['art', 'summer', 'keepitsimple', 'canon', 'forest', 'nature', 'happy', 'streetphotography', 'cloud', 'barcelona', 'nofilterneeded', 'pictures', 'smile', 'wallart', 'nikon', 'eyes', 'friends', 'urbex', 'artist', 'instalove', 'rap', 'thunder', 'naturelovers', 'capture']"
friends/117214914_2385286691774273_6714011405830400265_n.jpg,friends,"['birthdaycake', 'cakes', 'fun', 'birthdayboy', 'cakedecorating', 'celebration', 'happy', 'bhfyp', 'hadiah', 'balloons', 'keluarga', 'friends', 'like', 'sweet', 'birthdayparty', 'birthdaygirl', 'coklat', 'birthday', 'happybirthday', 'handmade', 'wedding', 'babyshower', 'cake', 'anniversary', 'party']"
